scene_path,object_path,active_self,components,network_transform,mesh_local_max_abs
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[6]/Orion_Line[3]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[6]/Orion_Line[4]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[6]/Orion_Line[5]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[6]/Orion_Line[6]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[6]/Orion_Line[7]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[6]/Orion_Line[8]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[7]",true,"UnityEngine.Transform;UnityEngine.MeshFilter;UnityEngine.MeshRenderer","",240094.046875
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[7]/Orion_Line[0]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[7]/Orion_Line[1]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[7]/Orion_Line[2]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[7]/Orion_Line[3]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[7]/Orion_Line[4]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[7]/Orion_Line[5]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[7]/Orion_Line[6]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[7]/Orion_Line[7]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[7]/Orion_Line[8]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[8]",true,"UnityEngine.Transform;UnityEngine.MeshFilter;UnityEngine.MeshRenderer","",240094.046875
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[8]/Orion_Line[0]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[8]/Orion_Line[1]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[8]/Orion_Line[2]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[8]/Orion_Line[3]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[8]/Orion_Line[4]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[8]/Orion_Line[5]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[8]/Orion_Line[6]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[8]/Orion_Line[7]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[8]/Orion_Line[8]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[9]",true,"UnityEngine.Transform;UnityEngine.MeshFilter;UnityEngine.MeshRenderer","",240094.046875
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[9]/Orion_Line[0]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[9]/Orion_Line[1]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[9]/Orion_Line[2]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[9]/Orion_Line[3]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[9]/Orion_Line[4]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[9]/Orion_Line[5]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[9]/Orion_Line[6]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[9]/Orion_Line[7]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[9]/Orion_Line[8]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[10]",true,"UnityEngine.Transform;UnityEngine.MeshFilter;UnityEngine.MeshRenderer","",240094.046875
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[10]/Orion_Line[0]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[10]/Orion_Line[1]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[10]/Orion_Line[2]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[10]/Orion_Line[3]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[10]/Orion_Line[4]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[10]/Orion_Line[5]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[10]/Orion_Line[6]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[10]/Orion_Line[7]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[10]/Orion_Line[8]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
